code,name,sector
1332,日本水産,水産・農林業
1605,INPEX,鉱業
1721,コムシスホールディングス,建設業
1801,大成建設,建設業
1802,大林組,建設業
1803,清水建設,建設業
1925,大和ハウス工業,建設業
1928,積水ハウス,建設業
1963,日揮ホールディングス,建設業
2002,日清製粉グループ本社,食料品
2269,明治ホールディングス,食料品
2413,エムスリー,サービス業
2432,ディー・エヌ・エー,サービス業
2502,アサヒグループホールディングス,食料品
2503,キリンホールディングス,食料品
2531,宝ホールディングス,食料品
2801,キッコーマン,食料品
2802,味の素,食料品
2871,明治ホールディングス,食料品
2914,日本たばこ産業,食料品
3092,ZOZO,小売業
3402,東レ,繊維製品
3405,クラレ,化学
3407,旭化成,化学
3436,SUMCO,金属製品
3659,ネクソン,情報・通信業
3861,王子ホールディングス,パルプ・紙
3863,日本製紙,パルプ・紙
4004,昭和電工,化学
4005,住友化学,化学
4021,日産化学,化学
4042,東ソー,化学
4043,トクヤマ,化学
4061,デンカ,化学
4063,信越化学工業,化学
4151,協和キリン,医薬品
4183,三井化学,化学
4188,三菱ケミカルグループ,化学
4208,宇部興産,化学
4324,電通グループ,サービス業
4452,花王,化学
4502,武田薬品工業,医薬品
4503,アステラス製薬,医薬品
4506,大日本住友製薬,医薬品
4507,塩野義製薬,医薬品
4519,中外製薬,医薬品
4523,エーザイ,医薬品
4568,第一三共,医薬品
4578,大塚ホールディングス,医薬品
4661,オリエンタルランド,サービス業
4689,LINEヤフー,情報・通信業
4704,トレンドマイクロ,情報・通信業
4751,サイバーエージェント,サービス業
4755,楽天グループ,サービス業
4901,富士フイルムホールディングス,化学
4902,コニカミノルタ,電気機器
5019,出光興産,石油・石炭製品
5020,ENEOSホールディングス,石油・石炭製品
5101,横浜ゴム,ゴム製品
5108,ブリヂストン,ゴム製品
5201,AGC,ガラス・土石製品
5233,太平洋セメント,ガラス・土石製品
5401,日本製鉄,鉄鋼
5406,神戸製鋼所,鉄鋼
5411,JFEホールディングス,鉄鋼
5541,大平洋金属,鉄鋼
5631,日本製鋼所,機械
5713,住友金属鉱山,非鉄金属
5714,DOWAホールディングス,非鉄金属
5801,古河電気工業,非鉄金属
5802,住友電気工業,非鉄金属
5803,フジクラ,非鉄金属
6098,リクルートホールディングス,サービス業
6103,オークマ,機械
6113,アマダ,機械
6178,日本郵政,情報・通信業
6301,コマツ,機械
6302,住友重機械工業,機械
6305,日立建機,機械
6326,クボタ,機械
6367,ダイキン工業,機械
6471,日本精工,機械
6472,NTN,機械
6473,ジェイテクト,機械
6479,ミネベアミツミ,電気機器
6501,日立製作所,電気機器
6503,三菱電機,電気機器
6504,富士電機,電気機器
6506,安川電機,電気機器
6584,三桜工業,輸送用機器
6586,マキタ,機械
6594,日本電産,電気機器
6752,パナソニックホールディングス,電気機器
6753,シャープ,電気機器
6758,ソニーグループ,電気機器
6762,TDK,電気機器
6770,アルプスアルパイン,電気機器
6841,横河電機,電気機器
6857,アドバンテスト,電気機器
6861,キーエンス,電気機器
6902,デンソー,輸送用機器
